Designator,Mid X,Mid Y,Rotation,Layer
R57,64.2875,-67.7,0.0,top
R58,55.9,-76.2125,270.0,top
R59,52.5875,-77.2,0.0,top
R6,119.1875,-67.9,0.0,top
R60,56.5875,-79.9,0.0,top
R61,98.8,-134.0,270.0,top
R62,68.3,-65.2,270.0,top
R63,108.2,-125.2125,90.0,top
R64,52.5875,-79.9,180.0,top
R65,71.8875,-79.9,0.0,top
R66,80.2,-56.8,270.0,top
R67,74.3,-51.2,90.0,top
R68,108.9875,-56.7,0.0,top
R69,113.2875,-56.7,0.0,top
R7,124.9875,-82.1,180.0,top
R70,55.8,-59.0,90.0,top
R71,108.03,-60.9425,90.0,top
R72,109.4675,-88.59,180.0,top
R73,85.5,-80.7,270.0,top
R74,82.9,-80.7,270.0,top
R75,71.1875,-58.2,180.0,top
R76,83.12,-68.93,270.0,top
R77,73.1,-120.1125,90.0,top
R78,71.8875,-82.1,180.0,top
R79,76.6875,-140.0,0.0,top
R8,128.8,-80.0875,90.0,top
R80,85.3875,-55.6,180.0,top
R81,75.2,-61.0,90.0,top
R82,60.9,-45.6125,90.0,top
R83,61.2,-120.2,90.0,top
R84,54.9875,-139.3,0.0,top
R85,55.9,-49.0875,270.0,top
R86,108.35,-101.3325,90.0,top
R87,110.55,-101.3325,270.0,top
R88,98.96,-83.4925,90.0,top
R89,101.26,-83.4675,270.0,top
R9,119.0,-140.2,90.0,top
SW1,91.96,-93.9,270.0,bottom
SW2,91.96,-103.1,270.0,bottom
SW3,91.96,-84.5,270.0,bottom
U1,118.2375,-61.05,270.0,top
U10,66.8625,-97.25,0.0,top
U2,84.5,-87.7,0.0,top
U3,65.025,-80.845,270.0,top
U4,118.625,-81.765,270.0,top
U5,65.1375,-59.75,270.0,top
U6,85.6375,-59.65,270.0,top
U8,102.725,-130.1375,180.0,top
U9,100.425,-99.4625,180.0,top
V9,91.1,-140.2,0.0,top
